ID,Req. Timestamp,Resp. Timestamp,Method,URL,Code,Reason,RTT,Size Resp. Header,Size Resp. Body
249,Mon Feb 02 16:07:58 GMT+06:00 2026,Mon Feb 02 16:07:58 GMT+06:00 2026,GET,https://amarsolution.xyz/assets,301,Moved Permanently,62,429,178
250,Mon Feb 02 16:07:58 GMT+06:00 2026,Mon Feb 02 16:07:58 GMT+06:00 2026,GET,https://amarsolution.xyz/backend,200,OK,72,460,524
251,Mon Feb 02 16:07:58 GMT+06:00 2026,Mon Feb 02 16:07:58 GMT+06:00 2026,GET,https://amarsolution.xyz/backend/main,301,Moved Permanently,62,435,178
252,Mon Feb 02 16:07:58 GMT+06:00 2026,Mon Feb 02 16:07:58 GMT+06:00 2026,GET,https://amarsolution.xyz/backend/main/api,404,Not Found,143,440,29
253,Mon Feb 02 16:07:58 GMT+06:00 2026,Mon Feb 02 16:07:58 GMT+06:00 2026,GET,https://amarsolution.xyz,200,OK,196,460,524
254,Mon Feb 02 16:07:58 GMT+06:00 2026,Mon Feb 02 16:07:58 GMT+06:00 2026,GET,https://amarsolution.xyz/,200,OK,209,460,524
255,Mon Feb 02 16:07:58 GMT+06:00 2026,Mon Feb 02 16:07:58 GMT+06:00 2026,GET,https://amarsolution.xyz/assets,301,Moved Permanently,66,429,178
256,Mon Feb 02 16:07:58 GMT+06:00 2026,Mon Feb 02 16:07:58 GMT+06:00 2026,GET,https://amarsolution.xyz/backend,200,OK,64,460,524
257,Mon Feb 02 16:07:58 GMT+06:00 2026,Mon Feb 02 16:07:58 GMT+06:00 2026,GET,https://amarsolution.xyz/assets,301,Moved Permanently,70,429,178
258,Mon Feb 02 16:07:58 GMT+06:00 2026,Mon Feb 02 16:07:58 GMT+06:00 2026,GET,https://amarsolution.xyz/backend/main,301,Moved Permanently,64,435,178
259,Mon Feb 02 16:07:58 GMT+06:00 2026,Mon Feb 02 16:07:58 GMT+06:00 2026,GET,https://amarsolution.xyz,200,OK,218,460,524
260,Mon Feb 02 16:07:58 GMT+06:00 2026,Mon Feb 02 16:07:58 GMT+06:00 2026,GET,https://amarsolution.xyz/backend/main,301,Moved Permanently,69,435,178
261,Mon Feb 02 16:07:58 GMT+06:00 2026,Mon Feb 02 16:07:58 GMT+06:00 2026,GET,https://amarsolution.xyz/assets/login-beeda917.js,200,OK,209,394,5433
262,Mon Feb 02 16:07:58 GMT+06:00 2026,Mon Feb 02 16:07:58 GMT+06:00 2026,GET,https://amarsolution.xyz/backend,200,OK,193,460,524
263,Mon Feb 02 16:07:58 GMT+06:00 2026,Mon Feb 02 16:07:58 GMT+06:00 2026,GET,https://amarsolution.xyz/backend/main/api,404,Not Found,169,440,29
264,Mon Feb 02 16:07:58 GMT+06:00 2026,Mon Feb 02 16:07:59 GMT+06:00 2026,GET,https://amarsolution.xyz/assets/index-f776b6eb.css,200,OK,351,383,115912
265,Mon Feb 02 16:07:58 GMT+06:00 2026,Mon Feb 02 16:07:59 GMT+06:00 2026,GET,https://amarsolution.xyz/backend/main/api,404,Not Found,242,440,29
266,Mon Feb 02 16:07:58 GMT+06:00 2026,Mon Feb 02 16:07:59 GMT+06:00 2026,GET,https://amarsolution.xyz/robots.txt,200,OK,243,460,524
267,Mon Feb 02 16:07:58 GMT+06:00 2026,Mon Feb 02 16:07:59 GMT+06:00 2026,GET,https://amarsolution.xyz/sitemap.xml,200,OK,241,460,524
268,Mon Feb 02 16:07:58 GMT+06:00 2026,Mon Feb 02 16:07:59 GMT+06:00 2026,GET,https://amarsolution.xyz/backend/main/api/user,401,Unauthorized,308,452,29
269,Mon Feb 02 16:07:58 GMT+06:00 2026,Mon Feb 02 16:07:59 GMT+06:00 2026,GET,https://amarsolution.xyz/vite.svg,200,OK,306,361,1497
270,Mon Feb 02 16:07:58 GMT+06:00 2026,Mon Feb 02 16:07:59 GMT+06:00 2026,GET,https://amarsolution.xyz/assets/index-e46c8535.js,200,OK,1076,399,4097806
271,Mon Feb 02 16:07:59 GMT+06:00 2026,Mon Feb 02 16:07:59 GMT+06:00 2026,GET,https://amarsolution.xyz,200,OK,57,460,524
272,Mon Feb 02 16:07:59 GMT+06:00 2026,Mon Feb 02 16:07:59 GMT+06:00 2026,GET,https://amarsolution.xyz/assets,301,Moved Permanently,58,429,178
273,Mon Feb 02 16:07:59 GMT+06:00 2026,Mon Feb 02 16:08:00 GMT+06:00 2026,GET,https://amarsolution.xyz/backend,200,OK,57,460,524
274,Mon Feb 02 16:08:00 GMT+06:00 2026,Mon Feb 02 16:08:00 GMT+06:00 2026,GET,https://amarsolution.xyz/backend/main,301,Moved Permanently,57,435,178
275,Mon Feb 02 16:08:00 GMT+06:00 2026,Mon Feb 02 16:08:00 GMT+06:00 2026,GET,https://amarsolution.xyz/backend/main/api,404,Not Found,132,440,29
276,Mon Feb 02 16:08:00 GMT+06:00 2026,Mon Feb 02 16:08:00 GMT+06:00 2026,GET,https://amarsolution.xyz,200,OK,63,460,524
277,Mon Feb 02 16:08:00 GMT+06:00 2026,Mon Feb 02 16:08:00 GMT+06:00 2026,GET,https://amarsolution.xyz/assets,301,Moved Permanently,73,429,178
278,Mon Feb 02 16:08:00 GMT+06:00 2026,Mon Feb 02 16:08:00 GMT+06:00 2026,GET,https://amarsolution.xyz/backend,200,OK,72,460,524
279,Mon Feb 02 16:08:00 GMT+06:00 2026,Mon Feb 02 16:08:00 GMT+06:00 2026,GET,https://amarsolution.xyz/backend/main,301,Moved Permanently,64,435,178
280,Mon Feb 02 16:08:00 GMT+06:00 2026,Mon Feb 02 16:08:00 GMT+06:00 2026,GET,https://amarsolution.xyz/backend/main/api,404,Not Found,144,440,29
281,Mon Feb 02 16:08:00 GMT+06:00 2026,Mon Feb 02 16:08:00 GMT+06:00 2026,GET,https://amarsolution.xyz,200,OK,69,460,524
282,Mon Feb 02 16:08:00 GMT+06:00 2026,Mon Feb 02 16:08:00 GMT+06:00 2026,GET,https://amarsolution.xyz/assets,301,Moved Permanently,69,429,178
283,Mon Feb 02 16:08:00 GMT+06:00 2026,Mon Feb 02 16:08:00 GMT+06:00 2026,GET,https://amarsolution.xyz/backend,200,OK,72,460,524
284,Mon Feb 02 16:08:00 GMT+06:00 2026,Mon Feb 02 16:08:00 GMT+06:00 2026,GET,https://amarsolution.xyz/backend/main,301,Moved Permanently,69,435,178
285,Mon Feb 02 16:08:00 GMT+06:00 2026,Mon Feb 02 16:08:01 GMT+06:00 2026,GET,https://amarsolution.xyz/backend/main/api,404,Not Found,156,440,29
286,Mon Feb 02 16:08:01 GMT+06:00 2026,Mon Feb 02 16:08:01 GMT+06:00 2026,GET,https://amarsolution.xyz,200,OK,71,460,524
287,Mon Feb 02 16:08:01 GMT+06:00 2026,Mon Feb 02 16:08:01 GMT+06:00 2026,GET,https://amarsolution.xyz/assets,301,Moved Permanently,71,429,178
288,Mon Feb 02 16:08:01 GMT+06:00 2026,Mon Feb 02 16:08:01 GMT+06:00 2026,GET,https://amarsolution.xyz/backend,200,OK,75,460,524
289,Mon Feb 02 16:08:01 GMT+06:00 2026,Mon Feb 02 16:08:01 GMT+06:00 2026,GET,https://amarsolution.xyz/backend/main,301,Moved Permanently,72,435,178
290,Mon Feb 02 16:08:01 GMT+06:00 2026,Mon Feb 02 16:08:01 GMT+06:00 2026,GET,https://amarsolution.xyz/backend/main/api,404,Not Found,171,440,29
291,Mon Feb 02 16:08:01 GMT+06:00 2026,Mon Feb 02 16:08:01 GMT+06:00 2026,GET,https://amarsolution.xyz,200,OK,58,460,524
292,Mon Feb 02 16:08:01 GMT+06:00 2026,Mon Feb 02 16:08:01 GMT+06:00 2026,GET,https://amarsolution.xyz/assets,301,Moved Permanently,65,429,178
293,Mon Feb 02 16:08:01 GMT+06:00 2026,Mon Feb 02 16:08:01 GMT+06:00 2026,GET,https://amarsolution.xyz/backend,200,OK,57,460,524
294,Mon Feb 02 16:08:01 GMT+06:00 2026,Mon Feb 02 16:08:01 GMT+06:00 2026,GET,https://amarsolution.xyz/backend/main,301,Moved Permanently,59,435,178
295,Mon Feb 02 16:08:01 GMT+06:00 2026,Mon Feb 02 16:08:02 GMT+06:00 2026,GET,https://amarsolution.xyz/backend/main/api,404,Not Found,129,440,29
296,Mon Feb 02 16:08:02 GMT+06:00 2026,Mon Feb 02 16:08:02 GMT+06:00 2026,GET,https://amarsolution.xyz,200,OK,198,460,524
297,Mon Feb 02 16:08:02 GMT+06:00 2026,Mon Feb 02 16:08:02 GMT+06:00 2026,GET,https://amarsolution.xyz/assets,301,Moved Permanently,64,429,178
298,Mon Feb 02 16:08:02 GMT+06:00 2026,Mon Feb 02 16:08:02 GMT+06:00 2026,GET,https://amarsolution.xyz/backend,200,OK,74,460,524
299,Mon Feb 02 16:08:02 GMT+06:00 2026,Mon Feb 02 16:08:02 GMT+06:00 2026,GET,https://amarsolution.xyz/backend/main,301,Moved Permanently,65,435,178
300,Mon Feb 02 16:08:02 GMT+06:00 2026,Mon Feb 02 16:08:02 GMT+06:00 2026,GET,https://amarsolution.xyz/backend/main/api,404,Not Found,147,440,29
301,Mon Feb 02 16:08:02 GMT+06:00 2026,Mon Feb 02 16:08:02 GMT+06:00 2026,GET,https://amarsolution.xyz,200,OK,193,460,524
302,Mon Feb 02 16:08:02 GMT+06:00 2026,Mon Feb 02 16:08:03 GMT+06:00 2026,GET,https://amarsolution.xyz/assets,301,Moved Permanently,63,429,178
303,Mon Feb 02 16:08:03 GMT+06:00 2026,Mon Feb 02 16:08:03 GMT+06:00 2026,GET,https://amarsolution.xyz/backend,200,OK,68,460,524
304,Mon Feb 02 16:08:03 GMT+06:00 2026,Mon Feb 02 16:08:03 GMT+06:00 2026,GET,https://amarsolution.xyz/backend/main,301,Moved Permanently,330,435,178
305,Mon Feb 02 16:08:03 GMT+06:00 2026,Mon Feb 02 16:08:03 GMT+06:00 2026,GET,https://amarsolution.xyz/backend/main/api,404,Not Found,146,440,29
2107,Mon Feb 02 16:12:45 GMT+06:00 2026,Mon Feb 02 16:12:45 GMT+06:00 2026,GET,https://amarsolution.xyz,200,OK,57,460,524
2108,Mon Feb 02 16:12:45 GMT+06:00 2026,Mon Feb 02 16:12:45 GMT+06:00 2026,GET,https://amarsolution.xyz/assets,301,Moved Permanently,60,429,178
2112,Mon Feb 02 16:12:45 GMT+06:00 2026,Mon Feb 02 16:12:45 GMT+06:00 2026,GET,https://amarsolution.xyz/backend,200,OK,58,460,524
2115,Mon Feb 02 16:12:45 GMT+06:00 2026,Mon Feb 02 16:12:46 GMT+06:00 2026,GET,https://amarsolution.xyz/backend/main,301,Moved Permanently,59,435,178
